id,name,type,subtype,country,city,public_ticker,founded,short_description,source_id
tsmc,TSMC,foundry,leading-edge,TW,Hsinchu,TSM,1987,Worlds largest pure play foundry,s1
samsung-foundry,Samsung Foundry,foundry,leading-edge,KR,Hwaseong,005930.KS,2005,Advanced logic foundry inside Samsung Electronics,s2
intel-foundry,Intel Foundry,foundry,leading-edge,US,Santa Clara,INTC,2021,US based advanced logic foundry business,s3
globalfoundries,GlobalFoundries,foundry,specialty,US,Malta,GFS,2009,Specialty foundry for RF automotive and embedded chips,s4
umc,UMC,foundry,mature-node,TW,Hsinchu,UMC,1980,Mature node foundry with global fabs,s5
smic,SMIC,foundry,mature-node,CN,Shanghai,0981.HK,2000,China based foundry with mature and advanced-node ambitions,s6
tower-semi,Tower Semiconductor,foundry,specialty,IL,Migdal Haemek,TSEM,1993,Analog and mixed signal specialty foundry,s7
vanguard,Vanguard International Semiconductor,foundry,mature-node,TW,Hsinchu,5347.TW,1994,Mature node foundry focused on specialty processes,s8
psmc,PSMC,foundry,mature-node,TW,Hsinchu,6770.TW,1994,Memory and logic foundry with mature-node capacity,s9
hua-hong,Hua Hong Semiconductor,foundry,mature-node,CN,Shanghai,1347.HK,1996,China specialty foundry focused on embedded and power processes,s10
nvidia,NVIDIA,fabless,gpu,US,Santa Clara,NVDA,1993,AI accelerator and GPU platform leader,s11
amd,AMD,fabless,cpu-gpu,US,Santa Clara,AMD,1969,CPU GPU and accelerator designer,s12
apple,Apple,fabless,consumer-soc,US,Cupertino,AAPL,1976,Custom SoC designer and major foundry customer,s13
qualcomm,Qualcomm,fabless,mobile-soc,US,San Diego,QCOM,1985,Mobile and edge AI chip designer,s14
broadcom,Broadcom,fabless,networking,US,Palo Alto,AVGO,1961,Networking ASIC and connectivity semiconductor supplier,s15
mediatek,MediaTek,fabless,mobile-soc,TW,Hsinchu,2454.TW,1997,Mobile and consumer SoC designer,s16
marvell,Marvell,fabless,networking,US,Santa Clara,MRVL,1995,Cloud networking storage and custom silicon supplier,s17
