source,target,relation,strength,notes,source_id
asml,tsmc,supplies-equipment,critical,EUV scanners for leading-edge nodes,s22
asml,samsung-foundry,supplies-equipment,critical,EUV scanners for leading-edge nodes,s22
asml,intel-foundry,supplies-equipment,critical,EUV scanners for leading-edge nodes,s22
asml,sk-hynix,supplies-equipment,high,EUV for advanced DRAM layers,s22
asml,samsung-memory,supplies-equipment,high,EUV for advanced DRAM layers,s22
asml,micron,supplies-equipment,high,EUV for advanced DRAM layers,s22
asml,smic,supplies-equipment,high,Advanced DUV access and controls shape China node progress,s22
nikon,umc,supplies-equipment,medium,DUV lithography for mature-node fabs,s23
nikon,globalfoundries,supplies-equipment,medium,DUV lithography for specialty fabs,s23
nikon,tower-semi,supplies-equipment,medium,DUV lithography for specialty fabs,s23
nikon,vanguard,supplies-equipment,medium,DUV lithography for mature-node fabs,s23
nikon,psmc,supplies-equipment,medium,DUV lithography for mature-node fabs,s23
canon,smic,supplies-equipment,medium,DUV and mature-node lithography tools,s24
canon,hua-hong,supplies-equipment,medium,DUV and mature-node lithography tools,s24
canon,winbond,supplies-equipment,medium,Lithography tools for specialty memory,s24
canon,kioxia,supplies-equipment,medium,Lithography tools for NAND manufacturing,s24
applied-materials,tsmc,supplies-equipment,high,Deposition etch implant and process equipment,s25
applied-materials,samsung-foundry,supplies-equipment,high,Deposition etch implant and process equipment,s25
applied-materials,intel-foundry,supplies-equipment,high,Deposition etch implant and process equipment,s25
applied-materials,micron,supplies-equipment,high,Deposition and process equipment for memory,s25
applied-materials,sk-hynix,supplies-equipment,high,Deposition and process equipment for memory,s25
applied-materials,umc,supplies-equipment,medium,Equipment for mature-node capacity,s25
lam-research,tsmc,supplies-equipment,high,Etch and deposition tools for advanced logic,s26
lam-research,samsung-memory,supplies-equipment,high,Etch and deposition tools for memory,s26
lam-research,sk-hynix,supplies-equipment,high,Etch and deposition tools for memory,s26
lam-research,micron,supplies-equipment,high,Etch and deposition tools for memory,s26
lam-research,intel-foundry,supplies-equipment,high,Etch and deposition tools for advanced logic,s26
lam-research,smic,supplies-equipment,medium,Etch and deposition tools affected by controls,s26
kla,tsmc,supplies-equipment,high,Inspection and metrology for advanced logic,s27
kla,samsung-foundry,supplies-equipment,high,Inspection and metrology for advanced logic,s27
kla,intel-foundry,supplies-equipment,high,Inspection and metrology for advanced logic,s27
kla,micron,supplies-equipment,high,Inspection and metrology for memory,s27
kla,umc,supplies-equipment,medium,Inspection and metrology for mature-node fabs,s27
kla,smic,supplies-equipment,medium,Inspection and metrology affected by controls,s27
tokyo-electron,tsmc,supplies-equipment,high,Coat develop etch and deposition equipment,s28
tokyo-electron,samsung-foundry,supplies-equipment,high,Coat develop etch and deposition equipment,s28
tokyo-electron,intel-foundry,supplies-equipment,high,Coat develop etch and deposition equipment,s28
tokyo-electron,sk-hynix,supplies-equipment,high,Memory process equipment,s28
tokyo-electron,micron,supplies-equipment,high,Memory process equipment,s28
tokyo-electron,kioxia,supplies-equipment,high,NAND process equipment,s28
lasertec,tsmc,supplies-equipment,critical,EUV mask inspection for leading-edge mask ecosystem,s29
lasertec,samsung-foundry,supplies-equipment,high,EUV mask inspection for leading-edge mask ecosystem,s29
lasertec,intel-foundry,supplies-equipment,high,EUV mask inspection for leading-edge mask ecosystem,s29
onto-innovation,ase,supplies-equipment,medium,Advanced packaging metrology and inspection,s30
onto-innovation,amkor,supplies-equipment,medium,Advanced packaging metrology and inspection,s30
onto-innovation,tsmc,supplies-equipment,medium,Advanced packaging process control,s30
aixtron,wolfspeed,supplies-equipment,high,SiC and GaN deposition equipment,s31
veeco,coherent,supplies-equipment,medium,Compound semiconductor deposition equipment,s32
edwards-vacuum,tsmc,supplies-equipment,high,Vacuum and abatement systems for fabs,s33
edwards-vacuum,samsung-foundry,supplies-equipment,high,Vacuum and abatement systems for fabs,s33
disco,ase,supplies-equipment,high,Dicing grinding and polishing equipment,s34
disco,amkor,supplies-equipment,high,Dicing grinding and polishing equipment,s34
advantest,ase,supplies-equipment,high,Automated test equipment for OSAT flow,s35
advantest,sk-hynix,supplies-equipment,high,Memory and high-end device test equipment,s35
teradyne,qualcomm,supplies-equipment,high,Automated test equipment for SoC validation,s36
teradyne,apple,supplies-equipment,medium,Automated test equipment for custom SoC validation,s36
teradyne,ase,supplies-equipment,high,Automated test equipment for OSAT flow,s36
shin-etsu,tsmc,supplies-materials,high,Silicon wafers for advanced logic,s37
shin-etsu,samsung-foundry,supplies-materials,high,Silicon wafers for advanced logic,s37
shin-etsu,intel-foundry,supplies-materials,high,Silicon wafers for advanced logic,s37
shin-etsu,micron,supplies-materials,high,Silicon wafers for memory,s37
sumco,tsmc,supplies-materials,high,Silicon wafers for logic fabs,s38
sumco,umc,supplies-materials,high,Silicon wafers for mature-node fabs,s38
sumco,globalfoundries,supplies-materials,medium,Silicon wafers for specialty fabs,s38
globalwafers,tsmc,supplies-materials,high,Silicon wafers for logic fabs,s44
globalwafers,umc,supplies-materials,high,Silicon wafers for mature-node fabs,s44
siltronic,globalfoundries,supplies-materials,medium,Silicon wafers for specialty fabs,s45
siltronic,infineon,supplies-materials,medium,Silicon wafers for power and automotive chips,s45
soitec,globalfoundries,supplies-materials,high,FD-SOI and engineered substrates,s46
soitec,stmicro,supplies-materials,high,FD-SOI and RF engineered substrates,s46
jsr,tsmc,supplies-materials,critical,Advanced photoresist concentration risk,s39
jsr,samsung-foundry,supplies-materials,high,Advanced photoresist materials,s39
jsr,intel-foundry,supplies-materials,high,Advanced photoresist materials,s39
hoya,tsmc,supplies-materials,high,Photomask blanks for advanced lithography,s42
hoya,asml,supplies-materials,high,Mask ecosystem materials for EUV lithography,s42
entegris,tsmc,supplies-materials,high,Specialty chemicals filtration and handling,s41
entegris,samsung-foundry,supplies-materials,high,Specialty chemicals filtration and handling,s41
cabot-microelectronics,tsmc,supplies-materials,high,CMP slurries for planarization,s43
