id,quarter,chokepoint_score,geography_concentration,substitutability_penalty,lead_time_penalty,dependency_centrality,notes
tsmc,2025-Q3,82,0.71,0.86,3.0,0.78,Pre-Arizona ramp slip; CoWoS tightening
tsmc,2025-Q4,86,0.71,0.86,3.0,0.81,Arizona N4 delay reported; CoWoS allocation extends to 2026
tsmc,2026-Q1,91,0.71,0.86,3.0,0.85,N2 risk production starts; advanced packaging fully booked
tsmc,2026-Q2,95,0.71,0.86,3.0,0.88,Current snapshot; CoWoS-L allocation peaks
asml,2025-Q3,88,0.92,0.92,2.5,0.74,Sole EUV supplier; High-NA ramp on schedule
asml,2025-Q4,82,0.92,0.88,2.5,0.71,Nikon DUV-i competitor announcement softens monopoly perception
asml,2026-Q1,86,0.92,0.90,2.5,0.73,High-NA shipments resume on plan
asml,2026-Q2,90,0.92,0.92,2.5,0.76,Current snapshot; High-NA backlog stretches to 2028
samsung-foundry,2025-Q3,58,0.61,0.55,3.0,0.48,3nm yield issues persist; foundry market share slips
samsung-foundry,2025-Q4,62,0.61,0.55,3.0,0.51,Reported yield improvement on 3nm GAA
samsung-foundry,2026-Q1,65,0.61,0.55,3.0,0.53,2nm pilot line stands up; HBM-attached customers commit
samsung-foundry,2026-Q2,68,0.61,0.55,3.0,0.55,Current snapshot
intel-foundry,2025-Q3,54,0.55,0.55,3.0,0.43,18A on track; Ohio Fab 1 construction continues
intel-foundry,2025-Q4,57,0.55,0.55,3.0,0.45,External-customer wins announced for 18A
intel-foundry,2026-Q1,61,0.55,0.55,3.0,0.48,18A pilot wafers ramp
intel-foundry,2026-Q2,63,0.55,0.55,3.0,0.50,Current snapshot
globalfoundries,2025-Q3,32,0.45,0.40,2.0,0.27,Specialty mature-node demand stable
globalfoundries,2025-Q4,33,0.45,0.40,2.0,0.28,Auto MCU restocking cycle
globalfoundries,2026-Q1,34,0.45,0.40,2.0,0.29,Same
globalfoundries,2026-Q2,35,0.45,0.40,2.0,0.30,Current snapshot
umc,2025-Q3,38,0.71,0.40,2.0,0.31,Mature-node price competition with SMIC
umc,2025-Q4,39,0.71,0.40,2.0,0.32,Same
umc,2026-Q1,40,0.71,0.40,2.0,0.33,Same
umc,2026-Q2,41,0.71,0.40,2.0,0.34,Current snapshot
smic,2025-Q3,44,0.55,0.55,2.0,0.36,Export-control headwind; mature-node capacity ramps in China
smic,2025-Q4,46,0.55,0.55,2.0,0.38,7nm production attempt continues despite EUV gap
smic,2026-Q1,48,0.55,0.55,2.0,0.40,Same
smic,2026-Q2,50,0.55,0.55,2.0,0.42,Current snapshot
tower-semi,2025-Q3,22,0.30,0.35,2.0,0.18,Stable analog/RF foundry
tower-semi,2025-Q4,23,0.30,0.35,2.0,0.19,Same
tower-semi,2026-Q1,24,0.30,0.35,2.0,0.20,Same
tower-semi,2026-Q2,24,0.30,0.35,2.0,0.20,Current snapshot
vanguard,2025-Q3,26,0.71,0.40,2.0,0.22,Mature-node Taiwan
vanguard,2025-Q4,27,0.71,0.40,2.0,0.23,Same
vanguard,2026-Q1,28,0.71,0.40,2.0,0.24,Same
vanguard,2026-Q2,28,0.71,0.40,2.0,0.24,Current snapshot
psmc,2025-Q3,24,0.71,0.40,2.0,0.20,Mature-node Taiwan
psmc,2025-Q4,25,0.71,0.40,2.0,0.21,Same
psmc,2026-Q1,25,0.71,0.40,2.0,0.21,Same
psmc,2026-Q2,26,0.71,0.40,2.0,0.22,Current snapshot
hua-hong,2025-Q3,28,0.55,0.40,2.0,0.23,China specialty mature node
hua-hong,2025-Q4,29,0.55,0.40,2.0,0.24,Same
hua-hong,2026-Q1,30,0.55,0.40,2.0,0.25,Same
hua-hong,2026-Q2,31,0.55,0.40,2.0,0.26,Current snapshot
nvidia,2025-Q3,72,0.50,0.45,1.5,0.66,AI accelerator demand; H200 and Blackwell ramp
nvidia,2025-Q4,78,0.50,0.45,1.5,0.70,Blackwell allocation extended; HBM3e tight
nvidia,2026-Q1,83,0.50,0.45,1.5,0.74,Rubin pre-orders; CoWoS-L bottleneck
nvidia,2026-Q2,86,0.50,0.45,1.5,0.77,Current snapshot
amd,2025-Q3,52,0.50,0.45,1.5,0.46,MI300 ramp; second AI source
amd,2025-Q4,56,0.50,0.45,1.5,0.49,MI325X launch; hyperscaler design wins
amd,2026-Q1,60,0.50,0.45,1.5,0.52,MI350 sampling
amd,2026-Q2,63,0.50,0.45,1.5,0.55,Current snapshot
apple,2025-Q3,48,0.50,0.45,1.5,0.42,M-series and A-series captive on TSMC N3
apple,2025-Q4,49,0.50,0.45,1.5,0.43,Same
apple,2026-Q1,50,0.50,0.45,1.5,0.44,N2 launch silicon allocation
